Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.orthofeet.com/products/sandy-silver-stretchable
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.ottasilver.com/tasbihs/pearl-stone-silver-sculpture-model-tesbih-with-silver
135 people have this in their cart,Product detail,Social Proof,Activity Notification,Cart Page,No,https://www.overstock.com/Home-Garden/Mervynn-Mid-Century-Fabric-Recliner-Club-Chair-Set-of-2-by-Christopher-Knight-Home/20603810/product.html?TID=Cart:Link:ProductLink:CartItems
Add to Wish List(13 People Have Added),Product detail,Social Proof,Activity Notification,Product Page,No,https://www.pandahall.com/p-1608228-shell-bead-strands-dyed-plum.html?areaType=BestSellers&p=1&i=1&paLb=List
77 PEOPLE LIKE THIS,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.paperwishes.com/products/7271250000
43 added to bag in the last 48hrs,Product image,Social Proof,Activity Notification,Product Page,No,https://www.burton.co.uk/en/bruk/product/sale-offers-1935754/mens-sale-view-all-6870632/2-piece-black-essential-skinny-fit-suit-8603567
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Ticker at the top of the page,Social Proof,Activity Notification,Product Page,No,https://www.pc-canada.com/item/CF360X.html
Over 200 views in 24 hrs,Product detail ,Social Proof,Activity Notification,Product Page,No,https://www.pcworld.co.uk/gbuk/computing-accessories/printers-scanners-and-ink/printers/epson-ecotank-et-2650-all-in-one-wireless-inkjet-printer-10157854-pdt.html
227 Bought Already,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.pigsback.com/en-ie/offer/420606/farnham-estate-spa-golf-resort
POPULAR 62 others checked this out in the last few hours.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.prettylittlething.com.au/yellow-cheetah-cut-out-wrap-around-swimsuit.html
POPULAR 64 others checked this out in the last few hours.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.prettylittlething.us/freyana-rose-gold-sequin-detail-long-sleeve-bodycon-dress.html 
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.prettysimplemusic.com/collections/refresh-video-collection/products/play-like-you-1-2
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.prospeedracing.com.au/mazdaspeed-turbo-inlet-hose
Viewed 744 times today,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.rebelliousfashion.co.uk/black-tapered-belted-cigarette-trousers-myasia.html#b_rwc-201-1553002378-24411
"2,229 people have viewed this item",Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
715 people have added this item to cart,Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
71 people have purchased this item,Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
12 customers viewed this product today!,Right corner,Social Proof,Activity Notification,Product Page,No,https://www.robinsons.com.sg/collections/shu-uemura/products/the-lightbulb-cushion-foundation-764
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.romadesignerjewelry.com/products/sterling-silver-hammered-teardrop-earrings
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.rpgstash.com/runescape/osrs-rogue-chest.html
"Trey in Columbia, United States purchased Leather Cord Capsule",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.rustico.com/collections/for-the-grad/products/sidekick-leather-cord-wrap
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sandcloud.com/collections/towels/products/mandala-sea-turtle-towel
6 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,No,https://www.schuh.co.uk/womens/vans-slip-on-lite-2-tone-black-and-pink-trainers/1974839370/
7 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,No,https://www.schuh.eu/en-eu/womens/nike-air-force-1-07-lv8-jdi-black-and-white-trainers/1960657260/
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Periodoc popup,Social Proof,Activity Notification,Product Page,No,https://www.seekdiscomfort.com/products/seek-discomfort-sketch-white-iphone-case
Selling fast! Add to bag 7 times in the last 48 hours.,Product image. Top right corner.,Social Proof,Activity Notification,Product Page,No,https://www.shoeaholics.com/brands/women/carvela-kurt-geiger/spectacle-white-leather-carvela-kurt-geiger
228 People Have Viewed This Product Recently!,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.shoppersstop.com/p-204831494_9418/colorChange?colorCode=204831494_9418&currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fq%3D%253AtopRated%253AinStockFlag%253Atrue%253Abrands%253AKASHISH%253Abrands%253AHAUTE%2BCURRY%253Abrands%253ASTOP%253AallPromotions%253AFlat%2B50%2525%2BOff%26text%3D%26startRange%3D%26endRange%3D%26showType%3D%26icid%3Dbrandsshoppersstop%7Chomepg%7C1-4%7Cwomenindianwear&totalResultVal=727&searchPageType=categor
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.shoppriceless.com/products/sadie-ponte-pants-black?variant=121973506064&utm_source=fomo&utm_medium=notification
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sivanaspirit.com/collections/best-sellers-1/products/gemstone-power-minis
3 other people are currently viewing this item.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.skatedeluxe.com/en/polar-skateboards-stripe-logo-t-shirt-black_p123470?sort=new&view=manu&brand_id=345
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.slickieslaces.com/collections/japanese-katakana-kanji-shoe-laces/products/limited-edition-nmd-ultra-boost-basics-flat-laces-og-katakana-black
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Periodic popup. Fake messages.,Social Proof,Activity Notification,Product Page,Yes,https://www.soccerlord.se/product/atlanta-united-home-soccer-jersey-2019/
"Michael in Pontiac, United States purchased a  ",Periodic popup. Need to wait for a bit. Appears in bottom left as others.,Social Proof,Activity Notification,Product Page,No,https://www.spartanarmorsystems.com/ar550-body-armor-shooters-cut-and-spartan-plate-carrier-entry-level-package/
Other 2 customers have it in their cart.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.spotmodel.com/product_info.php?products_id=13043
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.stealthangelsurvival.com/products/compact-tactical-kit
1044 sold in past 12 months,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.strawberrynet.com/en-us/makeup/maybelline/volum--express-the-colossal-mascara/188061/
2 customers recently bought it,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.stylepit.com/vans-black-ua-sk8-hi-black-blac-335337-4
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sunberhair.com/collections/curly-hair/products/brazilian-curly-virgin-hair-lace-frontal-with-bundles-100-human-hair-extensions-wefts
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Product image,Social Proof,Activity Notification,Product Page,No,https://www.sunglasses-shop.co.uk/prada/pr60vs/rose-gold--bordeaux-400408/57272?tmsb=tay13mz&tmrl=dbzzt&tmsl=4-product-carousel&tmty=w&tmcv=39&tmcs=1jaz5z5
One customer bought this article in the last 53 min.,Description of product,Social Proof,Activity Notification,Product Page,No,https://www.tennis-point.com/adidas-parley-polo-men-white-petrol-00544612336000.html
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.tentworld.com.au/buy-sale/tas-centurion-boot-camouflage
2+ people just viewed this product,Product detail. Above product title.,Social Proof,Activity Notification,Product Page,No,https://www.thebodyshop.com.my/what-s-hot/new-in/skin-defence-multi-protection-face-mist-spf45-pa.html
Over 238 people have bought this product,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.theinsolestore.com/form-maximum-support-insole.html
994 items sold this hour.,Popup in right bottom corner,Social Proof,Activity Notification,Product Page,No,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
Sara from Philadelphia just saved $68 on her order.,"Popup in right bottom corner. All items are ""just saved"" even if they have been sold for a while.",Social Proof,Activity Notification,Product Page,Yes,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
52 people have added this product to bag in the last 72 hours,Product image,Social Proof,Activity Notification,Product Page,No,https://www.tkmaxx.com/home/hobbies+leisure/luggage+travel-accessories/travel-accessories/black-folding-backpack/p/19016368
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.totemokawaiishop.com/products/sky-blue-pastel-bts-hoodie
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.treds.co.uk/womens/flip-flops/free-waters/becca-print/cali/45x5
4 bought in the last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,No,https://www.trespass.com/munros-womens-dlx-waterproof-down-jacket
Someone in Spain purchased,Periodic popup.,Social Proof,Activity Notification,Product Page,No,https://www.vapevandal.com/products/vape-vandal-logo-black-t-shirt
137 users are currently active on our website,Popup in the bottom of page,Social Proof,Activity Notification,Product Page,No,https://www.vapoureyes.co.nz/collections/vapoureyes-premium-eliquids/products/a-study-in-apricot?variant=36991698254
4 people are looking at this right now.,On the product image,Social Proof,Activity Notification,Product Page,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
Last purchased at 11:19am today.,On the product image,Social Proof,Activity Notification,Product Page,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
41 people have looked at this in the last couple of hours,Product image,Social Proof,Activity Notification,Product Page,No,https://www.victorianplumbing.co.uk/heritage-soap-dish-holder-chrome-ahc04
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.weapon762.com/mag-pouches/39-tmc-cqb-universal-double-mag-pouch-khaki.html
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.wildflowercases.com/products/check-plz-iphone-10-x-case?variant=42497025861
6 others have already bought this deal today!,Below product image,Social Proof,Activity Notification,Product Page,No,https://www.wowcher.co.uk/deal/london/10587660/babyliss-curl-secret-hair-styler-54?usr_src=search
232 people are viewing this offer!,Bottom left corner,Social Proof,Activity Notification,Product Page,No,https://www.wsjwine.com/jsp/offer/recr/us/wsj/offer_temp6.jsp?offerId=90900137&promoCode=0033005&&campaignsrc=0033005&offer=fy19_q2/top12_q2q4_v2_tabbed/2BonusRedRaymond2Glasses/69/save185/spt_open
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://zerolemon.com/collections/new-release/products/galaxy-s10-plus-extended-battery-case-5000mah
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://zodeys.com/products/real-raccoon-fur-slippers-women-2018-sliders-casual-fox-hair-flat-fluffy-fashion-home-summer-big-size-45-furry-flip-flops-shoes?utm_source=show-recent-order&utm_medium=notification
436 users are currently active on our website Just now,Lower left corner,Social Proof,Activity Notification,Product Page,No,https://zox.la/collections/straps/products/make-it-happen
39 people have this in their cart,Product detail,Social Proof,Activity Notification,Cart Page,No,https://www.overstock.ca/Home-Garden/Sleep-Zone-Huntington-10-inch-Split-California-King-size-Memory-Foam-Mattress-and-Adjustable-Bed-Set/15923853/product.html?refccid=SHQYBMI7HNTYT6CCRZBPK4ASWI&searchidx=6
No thanks! I don't like deals,Popup,Misdirection,Confirmshaming,Product Page,No,https://koala.com/products/koala-mattress
"No, I'll rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://biofinest.com/en/home/445-barley-grass-juice-powder-organic-superfood.html
I don't like discounts,Popup,Misdirection,Confirmshaming,Product Page,No,https://uk.scitecnutrition.com/products/vita-greens-fruits
"No, thanks. I don't like great deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
"No Thanks, I rather pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://bumpboxes.com/
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Bottom of page,Misdirection,Confirmshaming,Product Page,No,https://cgelves.com/shop/seamless-fabric-material-textures-tileable-fancy-lace-trims-mega-bundle-for-3d-cg-artists/
"No, I don't feel lucky",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
"No thanks, I don't like saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713
"No thanks, I'd like 0% off",Popup,Misdirection,Confirmshaming,Product Page,No,https://criquetshirts.com/products/cotton-cashmere-pocket-crew-neck-sweater-charcoal-hthr
"No thanks, I despise coupons!",Popup,Misdirection,Confirmshaming,Product Page,No,https://cuddleclones.com/product/plush-cuddle-clone
"No thanks, I don't want to build one.. I'd rather kick rocks!",Popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"No, I don't feel lucky.",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"No thanks, I don't like getting free stuff.",Popup,Misdirection,Confirmshaming,Product Page,No,https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp
"No thanks, I don't like good deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle
"no thanks, I like paying full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://homesickcandles.com/products/love-mini-single-candle
I WANT TO PAY MORE LATER ;),Popup,Misdirection,Confirmshaming,Product Page,No,https://leprix.com/shop/givenchy/shoulder-bags/chain-pandora-box-handbag-stingray-mini
"No thanks, I dont want a discount",Popup,Misdirection,Confirmshaming,Product Page,No,https://madebyhemp.com/product/cbd-vape-kit/
"No thanks, I don't like FREE stuff.",Popup,Misdirection,Confirmshaming,Product Page,No,https://marleylilly.com/product/monogrammed-duck-boots
"No thanks, I prefer to pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://milkandeggs.com/products/new-york-steak-center-cut-grass-fed-12-oz
"NO, I DON'T FEEL LUCKY",Popup,Misdirection,Confirmshaming,Product Page,No,https://nichecanvas.com/collections/best-sellers-1/products/abstract-art-canvas
"No thanks, I hate saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://pitstopusa.com/i-6313382-pyrotect-blue-iridium-sa2010-2015-helmet-shield.html
I do not want to protect my item,Popup after adding to cart,Misdirection,Confirmshaming,Product Page,No,https://secure.mdg.com/ProductDetail.aspx?ItemID=6461&CategoryID=25
"No, thanks, I´d rather pay more",Popup,Misdirection,Confirmshaming,Product Page,No,https://shapermint.com/collections/sale/products/empetua-ultra-thin-high-waisted-panties?variant=7568059859004
"No, I don't want a discount",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopilovejewelry.com/collections/pajamas/products/monogram-girls-pink-striped-pajama-set
"No thanks, I'll pay full price!",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopthemint.com/collections/dresses/products/88949-red?variant=22779286323258
"NO THANKS, I DON'T WANT TO SAVE MONEY",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopurbansociety.com/collections/best-sellers/products/loca-windbreaker
"No Thanks, I Don't Like Exclusive Offers.",Popup,Misdirection,Confirmshaming,Product Page,No,https://southerntide.com/products/backrush-stripe-intercoastal-performance-shirt
"No thanks, I'll just pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://store.geeksaresexy.net/sales/productivity-and-success-bundle?utm_source=geeksaresexy.net&utm_medium=referral&utm_campaign=productivity-and-success-bundle_122018&utm_term=scsf-310304&utm_content=a0x1P000004fWoO&scsonar=1
"NO, I'D RATHER PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://store.ringtoperfection.com/collections/bracelets/products/ultimate-multifunctional-self-defense-bracelet-necklace
"No, thank you. I prefer to pay the full price",Popup on account creation,Misdirection,Confirmshaming,Product Page,No,https://theluxurycloset.com/
No I don't feel lucky,Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://topcoat.store/collections/web-specials/products/topcoat-f11-pro-prep-kit
I'd rather not save,Banner if you decline the other upsell they show it again,Misdirection,Confirmshaming,Product Page,No,https://topcoat.store/products/topcoat-f11-prep-kit
"No thanks, I’d rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://u90soccer.com/real-madrid-18-19-away-jersey-118730.html
"No thanks, I don’t like fun and games.",Popup,Misdirection,Confirmshaming,Product Page,No,https://us.buywow.com/collections/hair-care/products/wow-10-in-1-hair-oil-no-parabens-or-mineral-oils-200-ml-6-8-fl-oz
"no thanks, I hate fun & games",Popup,Misdirection,Confirmshaming,Product Page,No,https://us.buywow.com/collections/vitamins-dietary-supplements/products/slimming-gel-by-wow-100-pure-natural-synthesis-containing-essential-oils-himalayan-spring-water-minerals-suitable-for-all-skin-types-aids-weight-loss-strengthens-skins-surface-pack-of-1
"No thanks, I don't want 15% off",Popup,Misdirection,Confirmshaming,Product Page,No,https://wethepeopleholsters.com/collections/custom-printed-holsters/products/trump-presidential-kydex-holster-commemorating-inauguration-day-hand-made-in-the-usa-by-wethepeopleholsters
"No, I'd rather do it the hard way...",Popup,Misdirection,Confirmshaming,Product Page,No,https://wholesalesuiteplugin.com/woocommerce-wholesale-lead-capture/
"No Thanks, I Don't Like Saving Money.",Popup,Misdirection,Confirmshaming,Product Page,No,https://workingperson.com/dickies-mens-1953-wh-cotton-relaxed-fit-painter-pants.html
"NO THANKS, I DON’T MIND MISSING OUT",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.1-day.co.nz/products/ue-megaboom-charcoal-black-4
I'LL PAY FULL PRICE,Full page popup,Misdirection,Confirmshaming,Product Page,No,https://www.adoreme.com/designer-collection/amelie-plus
"No, I don't want great deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.airfiltersdelivered.com/16-x-28-x-6-aprilaire-spacegard/16-x-28-x-6-merv-8-aftermarket-replacement-filter.html
"No thanks, I don't like free stuff",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.annthegran.com/prd/designs/machine-embroidery-designs/christmas-labrador-retriever-head/1/39803.aspx
"No thanks, I want to pay the full price.",Pop-up message,Misdirection,Confirmshaming,Product Page,No,https://www.artgallery.co.uk/work/276649
"NO, I'LL PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.beckettsimonon.com/collections/mens/products/mens-oxford-shoe-black-leather?variant=18030296773
"No, thanks. I'd rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bestsellerclothing.ca/collections/bestseller-men-outerwear-coats/products/houndstooth-dress-coat-with-recycled-material-light-grey-melange-en
"no thanks, I don't like to save",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bettereyewear.com/Tom_Ford_FT_4239_Eyeglasses_p/ft4239.htm
"No thank you, I prefer to pay for shipping.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.blair.com/p/scandia-woods/on-sale/scandia-woods-long-sleeve-denim-and-twill-shirts/pc/1627/sc/3406/32538.uts
"Nah, I'll pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.blenderseyewear.com/products/cinder-bella?utm_source=recently&utm_medium=referral
No thanks I definitely measured correctly,,Misdirection,Confirmshaming,Cart Page,No,https://www.blindsdirect.co.uk/product/touched-by-design-essence-french-grey-faux-wood-venetian-blind
No thanks. I don’t want to save money.,Popup with wheel,Misdirection,Confirmshaming,Product Page,No,https://www.blindster.com/cellular-shades/cordless-cellular-shades-tdbu/
No thanks. I love chaos!,Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bluesky.com/collections/noteworthy-recs/products/2019-noteworthy-layered-brushstrokes-8-5-x-11-weekly-hardcover-6-in-1-planner
"No thanks, I’d rather not win.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bowlingball.com/products/bowling-balls/bowlingball.com/4961/bowlingballcom-angel-ball-celestial-apparition-viz-a-ball-6-14-15-only-retired-only-a-few-left.html
"No thanks, I prefer to pay more for shoes!",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.brandhousedirect.com.au/products/nike-mens-air-zoom-structure-18-premium-running-sport-shoes?variant=42576436677
"No thanks, I'll pay full price",Full page popup after clicking the banner on the home page,Misdirection,Confirmshaming,Home Page,No,https://www.brooklinen.com/collections/smoke-rss-away
"No thanks, I'll still want to pay full price",Coming back to the product page will confirm shame again (popup from below the page),Misdirection,Confirmshaming,Product Page,No,https://www.brooklinen.com/products/luxe-hardcore-sheet-bundle?variant=24302663174
"No thanks, I don't want any deals",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.brother.ca/en/p/RHLL5000D
"No thanks, I don't like promotions and exclusive content.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bulkreefsupply.com/36-hybrid-t5ho-4x39w-fixture-with-led-mounting-system-white-open-box-aquatic-life-1.html
"NO THANKS, I'D RATHER PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.campaignliving.com/products/modern-sectional-sofa
"No Thanks, I Prefer Paying Full Price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.championshipproductions.com/cgi-bin/champ/download/10-free/free-coaching-videos.html
"No Thanks, I Don't Want To Save",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.cityfurniture.com/se-city-lights-dk-brown-24-uph-barstool.html
"No Thanks, I'd Rather Pay Full Price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.colorit.com/collections/featured/products/colorful-unicorns-illustrated-by-terbit-basuki
"No, thanks. I'd prefer not to save.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.crossrope.com/products/infinity-rope-system/get-lean-jump-rope-set
"No Thanks, I don't want official software at the best price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.cspcart.com/products/microsoft-office-2019-professional-pc
"No thanks, I don't want to look my best",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.dailylook.com/p/Skinny/Just-Black-Ariane-Destroyed-Mid-Rise-Skinny-Crop/155895.html
"Nah, I like paying full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.decalgirl.com/skins/422616/otterbox-commuter-galaxy-s9-case-skin-blossoming-almond-tree
No thanks - I don't want to save money,Popup,Misdirection,Confirmshaming,Product Page,No,https://www.digitalsupplyusa.com/products/samsung-galaxy-note-8-glass-screen-repair-replacement-kit-tools-instructions-black-pro-series
"I DON'T LIKE FREE GIFTS, NO THANKS",Popup,Misdirection,Confirmshaming,Cart Page,No,https://www.dormco.com/Braided_Blanket_Throw_Size_p/d1603-bybs18-40x60.htm
I'll Shop Without A Discount,Popup,Misdirection,Confirmshaming,Product Page,No,https://www.dressbarn.com/signature-fit-soft-stretch-ankle-leg-jeans/prd-103563815
I'd rather pay full price,Popup,Misdirection,Confirmshaming,Product Page,No,https://www.electronicexpress.com/catalog/184476/LucidAudio-ER20SMBC
"No thanks, I don’t like saving money.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.epicsports.com/prod/15965/alleson-adult-youth-multi-sport-tech-l-s-t-shirts.html?utm_content=15965
"No Thanks, I Don't Want a Discount",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.finefoodspecialist.co.uk/morels-frozen-2-7-cm-1kg/
"NO THANKS, I DON’T WANT 15% OFF",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.flowerbeauty.com/products/that-s-so-kohl-eyeliner
"No thanks, I don’t want to save",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.fullcompass.com/prod/198640-rupert-neve-designs-rnd-5045-portico-5045-2-channel-analog-primary-source-enhancer-1ru-rupert-neve
"No Thanks, I Don't Want a Free Gift",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.garrettwade.com/arborist-large-pruning-saw.html
"No thanks, I want to pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.glassesusa.com/tortoisegold-medium/ray-ban-5154-clubmaster/44-m3648.html
"No thanks, I've got too much cool Glock stuff!",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.glockstore.com/LaserMax-Sight?quantity=1
"No thanks, I'm not interested",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.greenbelly.co/products/meal2go?utm_source=Home%20Button
"No thank you, I prefer to pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.haband.com/p/modern-fit-jeans-with-spandex?id=cf1c26e619534aed924e1a35ce51247f
"No thanks, I don't like deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.healthkart.com/sv/muscleblaze-bcaa-gold/SP-50087?navKey=VRNT-91279
"NO THANKS, I'll PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.honeybum.com/collections/jeans/products/ysabel-girlfriend-jeans-blue
"No thanks, I hate cool stuff",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.iheartraves.com/products/spandex-diamond-net-pantyhose%20
No thanks. I'd rather pay full price.,Popup,Misdirection,Confirmshaming,Product Page,No,https://www.intotheam.com/products/into-the-am-sticker-pack
"No, I'd rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.jaanuu.com/products/melody-lab-coat/white
"No thanks, I’d rather pay more",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.jachsny.com/collections/mens-sale-new/products/j17c-240-op6?variant=48773837130
"No Thanks, I don't like exclusive deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.jamtangan.com/alexandre-christie-ac-9205-mc-lurbu-chronograph-men-black-dial-black-leather-strap-178981.html
"No thanks, I don't want the free gift.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.jeulia.com/product-ocean-s-light-sterling-silver-mermaid-gift-necklace-for-valentine-s-day-cid40-jecm0032
"No thanks, I'd rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.keylessentryremotefob.com/product-p/oem-oht-rhk4b-compass.htm
